Category,Area,Total amount awarded (2023/24),Total amount awarded (2022/23),Total amount awarded (2021/22),Total amount awarded (2020/21),Total amount awarded (2019/20),Total amount awarded (2018/19)
Reference Date, ,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19
Update Frequency, ,Annually,Annually,Annually,Annually,Annually,Annually
National Comparator,England, , , , , , 
B) Lower Tier Local Authorities,Adur,£309201.0000000000,£402312.0000000000,£127987.0000000000,£393940.0000000000,£96143.0000000000,£111371.0000000000
B) Lower Tier Local Authorities,Amber Valley,£177068.0000000000,£439745.0000000000,£339660.0000000000,£846398.0000000000,£226277.0000000000,£207942.0000000000
B) Lower Tier Local Authorities,Arun,£129639.0000000000,£66003.0000000000,£320823.0000000000,£306053.0000000000,£38647.0000000000,£28600.0000000000
B) Lower Tier Local Authorities,Ashfield,£104887.0000000000,£131306.0000000000,£104743.0000000000,£233370.0000000000,£116984.0000000000,£16509.0000000000
B) Lower Tier Local Authorities,Ashford,£550966.0000000000,£404664.0000000000,£1037665.0000000000,£1656913.0000000000,£473982.0000000000,£3576552.0000000000
B) Lower Tier Local Authorities,Babergh,£22289.0000000000,£13495.0000000000,£261726.0000000000,£410565.0000000000,£147791.0000000000,£10000.0000000000
B) Lower Tier Local Authorities,Barking and Dagenham,£2276334.0000097000,£1868372.0000000000,£1738695.0000000000,£2716227.0000050000,£790822.0000000000,£1414629.0000068600
B) Lower Tier Local Authorities,Barnet,£1536461.0000000000,£1820380.0000000000,£1842922.0000000000,£3917508.0000000000,£1420375.0000000000,£1232764.0000000000
B) Lower Tier Local Authorities,Barnsley,£3010196.0000000000,£4124702.0000000000,£8081586.0000000000,£4943557.0000000000,£2708710.0000000000,£3308595.0000000000
B) Lower Tier Local Authorities,Basildon,£159115.9999399840,£4525299.9954850000,£262283.9997500000,£834587.9994630200,£24532.0000000000,£8750.0000000000
B) Lower Tier Local Authorities,Basingstoke and Deane,£497720.0000000000,£380231.0000000000,£467110.0000000000,£1454835.0000000000,£338964.0000000000,£311604.0000000000
B) Lower Tier Local Authorities,Bassetlaw,£19138.0000000000,£10000.0000000000,£263934.0000000000,£31733.0000000000,£109248.0000000000,£10000.0000000000
B) Lower Tier Local Authorities,Bath and North East Somerset,£1252482.0000000000,£1171591.0000000000,£2272719.0000000000,£4828536.9999925000,£816897.9999940670,£855808.9999793310
B) Lower Tier Local Authorities,Bedford,£752026.0000000000,£742699.0000132370,£1128527.0000000000,£1888373.0000000000,£662120.0000000000,£505267.0000000000
B) Lower Tier Local Authorities,Bexley,£186030.0000000000,£212221.0000000000,£200771.0000000000,£1309092.0000000000,£461809.0000000000,£444794.0000000000
B) Lower Tier Local Authorities,Birmingham,£34698631.0000687420,£28650518.0001960770,£40214074.0008033890,£58232287.0002935070,£33352445.0001925340,£27817771.0002060340
B) Lower Tier Local Authorities,Blaby,£1803312.0000283190,£2230938.0000000000,£1806252.0000000000,£2512015.0000000000,£1785949.0000000000,£1734417.0000000000
B) Lower Tier Local Authorities,Blackburn with Darwen,£1217379.0000000000,£395403.0000000000,£1377523.0000000000,£2509754.0000000000,£286797.0000000000,£425538.0000000000
B) Lower Tier Local Authorities,Blackpool,£2038332.0000000000,£935447.0000000000,£1880747.0000000000,£3244801.0000000000,£514718.0000000000,£613775.0000000000
B) Lower Tier Local Authorities,Bolsover,£575499.0000000000,£1471494.0000000000,£708492.0000000000,£1861677.0000000000,£53398.0000000000,£87525.0000000000
B) Lower Tier Local Authorities,Bolton,£4505909.0000000000,£4610041.0000000000,£5053776.0000000000,£6634095.0000000000,£8358705.0000000000,£4413588.0000000000
B) Lower Tier Local Authorities,Boston,£260000.0000000000,£78557.0000000000,£213776.0000000000,£275521.0000000000,£15000.0000000000,£0.0000000000
B) Lower Tier Local Authorities,"Bournemouth, Christchurch and Poole",£5332926.0000000000,£4760109.0000000000,£6557872.0000000000,£11074561.0000000000,£4420454.0000000000,£4748225.0000000000
B) Lower Tier Local Authorities,Bracknell Forest,£12000.0000000000,£17188.0000000000,£79598.0000000000,£392102.0000000000,£0.0000000000,£14700.0000000000
B) Lower Tier Local Authorities,Bradford,£6352526.0000000000,£15575406.0000000000,£5076416.0000000000,£9240091.0000000000,£4835795.0000000000,£3639788.0000000000
B) Lower Tier Local Authorities,Braintree,£40400.0000000000,£28700.0000000000,£108976.0000000000,£240076.0000000000,£43500.0000000000,£53335.0000000000
B) Lower Tier Local Authorities,Breckland,£140543.0000000000,£32465.0000000000,£158855.0000000000,£28816.0000000000,£89579.0000000000,£53712.0000000000
B) Lower Tier Local Authorities,Brent,£3086525.9997821850,£2663779.9990030450,£4724132.9924804040,£4759531.9973117180,£2081246.9993466690,£1952899.9999550000
B) Lower Tier Local Authorities,Brentwood,£19970.0000000000,£532201.0000000000,£330654.0000000000,£57124.0000000000,£66238.0000000000,£47666.0000000000
B) Lower Tier Local Authorities,Brighton and Hove,£9712442.0000000000,£10619891.0000000000,£13003204.0000000000,£25238416.0000000000,£9263705.0000000000,£7722546.0000000000
B) Lower Tier Local Authorities,"Bristol, City of",£15331943.9999851000,£12967625.9999797300,£28070340.9999750500,£36608687.0002172970,£13266191.9999217470,£11200205.9999471260
B) Lower Tier Local Authorities,Broadland,£89347.9999882290,£29582.0000000000,£58821.0000000000,£190078.0000000000,£643046.0006000000,£637600.0006000000
B) Lower Tier Local Authorities,Bromley,£1653746.0000000000,£1668079.9999700000,£1604431.9999911310,£1631401.0000000000,£1191965.0000000000,£926896.9999911620
B) Lower Tier Local Authorities,Bromsgrove,£62664.0000000000,£77167.0000000000,£233501.0000000000,£526945.0000000000,£34992.0000000000,£16870.0000000000
B) Lower Tier Local Authorities,Broxbourne,£45385.0000000000,£3366.0000000000,£79240.0000000000,£294134.0000000000,£10000.0000000000,£34652.0000000000
B) Lower Tier Local Authorities,Broxtowe,£350599.0000000000,£198535.0000000000,£330111.0000000000,£444842.0000000000,£234856.0000000000,£92879.0000000000
B) Lower Tier Local Authorities,Buckinghamshire,£1472062.0000000000,£1336969.9999856370,£2346227.9999856600,£4312808.0000000000,£1125889.0000000000,£1150037.0000000000
B) Lower Tier Local Authorities,Burnley,£206496.0000000000,£130335.0000000000,£1200042.0000000000,£1222331.0000000000,£107561.0000000000,£111032.0000000000
B) Lower Tier Local Authorities,Bury,£976940.0000000000,£524574.0000000000,£449544.0000000000,£737969.0000000000,£300088.0000000000,£260998.0000000000
B) Lower Tier Local Authorities,Calderdale,£2758854.0000000000,£1721650.0000000000,£3724460.0000000000,£2991668.0000000000,£1495241.0000000000,£1582903.0000000000
B) Lower Tier Local Authorities,Cambridge,£2961526.0000031250,£3753020.0000000000,£5236480.9999550400,£8710239.9999850000,£3843553.9999905480,£3949660.0000000000
B) Lower Tier Local Authorities,Camden,£15026768.0003221120,£14502310.0021391340,£20443821.0006005600,£44836855.0007775720,£17097115.0001459380,£13624123.0001916600
B) Lower Tier Local Authorities,Cannock Chase,£10000.0000000000,£70550.0000000000,£71688.0000000000,£101239.0000000000,£0.0000000000,£0.0000000000
B) Lower Tier Local Authorities,Canterbury,£937834.0000000000,£4820187.0000000000,£2159700.0000000000,£4829044.0000000000,£1369796.0000000000,£5791480.0000000000
B) Lower Tier Local Authorities,Castle Point,£149251.0000000000,£0.0000000000,£85000.0000000000,£32089.0000000000,£29850.0000000000,£29400.0000000000
B) Lower Tier Local Authorities,Central Bedfordshire,£817470.0000300000,£579506.0000200000,£972562.9999900520,£1642454.0000000000,£653656.0000150000,£703038.0000150000
B) Lower Tier Local Authorities,Charnwood,£751048.0000117600,£485893.0000198330,£697489.0000160480,£1094957.0000342450,£475538.0000000000,£415421.0000162500
