"","lad11cd","lad11nm","number_of_graduates","number_of_retained_graduates","graduate_retention_rate"
"1","E06000001","Hartlepool",1350,954,0.706666666666667
"2","E06000002","Middlesbrough",1955,1412,0.722250639386189
"3","E06000003","Redcar and Cleveland",1885,1133,0.60106100795756
"4","E06000004","Stockton-on-Tees",2890,1760,0.608996539792388
"5","E06000005","Darlington",1220,725,0.594262295081967
"6","E06000006","Halton",1680,1230,0.732142857142857
"7","E06000007","Warrington",3245,2174,0.669953775038521
"8","E06000008","Blackburn with Darwen",2645,1935,0.731568998109641
"9","E06000009","Blackpool",1850,1201,0.649189189189189
"10","E06000010","Kingston upon Hull, City of",3035,2155,0.71004942339374
"11","E06000011","East Riding of Yorkshire",2610,1210,0.46360153256705
"12","E06000012","North East Lincolnshire",1785,906,0.507563025210084
"13","E06000013","North Lincolnshire",1080,624,0.577777777777778
"14","E06000014","York",1985,1155,0.581863979848867
"15","E06000015","Derby",3555,2460,0.691983122362869
"16","E06000016","Leicester",5528,4240,0.767004341534009
"17","E06000017","Rutland",155,70,0.451612903225806
"18","E06000018","Nottingham",2920,2034,0.696575342465753
"19","E06000019","Herefordshire, County of",1080,525,0.486111111111111
"20","E06000020","Telford and Wrekin",2015,1196,0.593548387096774
"21","E06000021","Stoke-on-Trent",2995,2174,0.725876460767947
"22","E06000022","Bath and North East Somerset",1780,965,0.542134831460674
"23","E06000023","Bristol, City of",3780,2688,0.711111111111111
"24","E06000024","North Somerset",2195,1175,0.535307517084282
"25","E06000025","South Gloucestershire",2773,1717,0.619184998196899
"26","E06000026","Plymouth",3030,1880,0.62046204620462
"27","E06000027","Torbay",1600,785,0.490625
"28","E06000028","Bournemouth",1850,1116,0.603243243243243
"29","E06000029","Poole",2125,1235,0.581176470588235
"30","E06000030","Swindon",2325,1459,0.62752688172043
"31","E06000031","Peterborough",2160,1404,0.65
"32","E06000032","Luton",3700,2745,0.741891891891892
"33","E06000033","Southend-on-Sea",2520,1726,0.684920634920635
"34","E06000034","Thurrock",1715,1100,0.641399416909621
"35","E06000035","Medway",3605,2234,0.619694868238558
"36","E06000036","Bracknell Forest",1617,1011,0.625231910946197
"37","E06000037","West Berkshire",1458,830,0.569272976680384
"38","E06000038","Reading",2158,1437,0.665894346617238
"39","E06000039","Slough",2459,1861,0.756811712078081
"40","E06000040","Windsor and Maidenhead",2003,1254,0.626060908637044
"41","E06000041","Wokingham",2505,1531,0.611177644710579
"42","E06000042","Milton Keynes",3726,2249,0.603596349973162
"43","E06000043","Brighton and Hove",2648,1603,0.60536253776435
"44","E06000044","Portsmouth",2000,1350,0.675
"45","E06000045","Southampton",2260,1521,0.673008849557522
"46","E06000046","Isle of Wight",1130,440,0.389380530973451
"47","E06000047","County Durham",4096,2257,0.551025390625
"48","E06000048","Northumberland",2895,1580,0.545768566493955
"49","E06000049","Cheshire East",4735,2700,0.570221752903907
"50","E06000050","Cheshire West and Chester",3520,2130,0.605113636363636
"51","E06000051","Shropshire",1980,1020,0.515151515151515
"52","E06000052","Cornwall",3195,1470,0.460093896713615
"53","E06000054","Wiltshire",4060,1940,0.477832512315271
"54","E06000055","Bedford",1520,964,0.634210526315789
"55","E06000056","Central Bedfordshire",2469,1401,0.567436208991494
"56","E07000004","Aylesbury Vale",1460,840,0.575342465753425
"57","E07000005","Chiltern",1855,1064,0.573584905660377
"58","E07000006","South Bucks",1006,650,0.646123260437376
"59","E07000007","Wycombe",2770,1750,0.631768953068592
"60","E07000008","Cambridge",1321,804,0.608629825889478
"61","E07000009","East Cambridgeshire",453,234,0.516556291390728
"62","E07000010","Fenland",701,365,0.520684736091298
"63","E07000011","Huntingdonshire",1475,750,0.508474576271186
"64","E07000012","South Cambridgeshire",794,421,0.530226700251889
"65","E07000026","Allerdale",675,290,0.42962962962963
"66","E07000027","Barrow-in-Furness",735,425,0.578231292517007
"67","E07000028","Carlisle",735,430,0.585034013605442
"68","E07000029","Copeland",395,120,0.30379746835443
"69","E07000030","Eden",170,90,0.529411764705882
"70","E07000031","South Lakeland",700,305,0.435714285714286
"71","E07000032","Amber Valley",1330,705,0.530075187969925
"72","E07000033","Bolsover",525,270,0.514285714285714
"73","E07000034","Chesterfield",1450,885,0.610344827586207
"74","E07000035","Derbyshire Dales",510,270,0.529411764705882
"75","E07000036","Erewash",1230,695,0.565040650406504
"76","E07000037","High Peak",1121,676,0.603033006244425
"77","E07000038","North East Derbyshire",950,515,0.542105263157895
"78","E07000039","South Derbyshire",605,345,0.570247933884298
"79","E07000040","East Devon",910,365,0.401098901098901
"80","E07000041","Exeter",980,545,0.556122448979592
"81","E07000042","Mid Devon",340,150,0.441176470588235
"82","E07000043","North Devon",665,310,0.466165413533835
"83","E07000044","South Hams",550,200,0.363636363636364
"84","E07000045","Teignbridge",765,365,0.477124183006536
"85","E07000046","Torridge",305,105,0.344262295081967
"86","E07000047","West Devon",305,145,0.475409836065574
"87","E07000048","Christchurch",573,312,0.544502617801047
"88","E07000049","East Dorset",835,410,0.491017964071856
"89","E07000050","North Dorset",380,155,0.407894736842105
"90","E07000051","Purbeck",200,105,0.525
